this is the stupidest timeline and i hate it dot com	这 是 最 愚蠢 的 时间表 我 讨厌 它	0.6666666666666666
the grapheme as it is output	输出 时 的 字素	0.5
plans to set in salad at penn on 6row pattern and see how that compares to broadcast seeded beds	计划 在 宾夕法尼亚大学 以 6 行 模式 设置 沙拉 看看 与 撒播 播种 床 相比 如何	0.5806451612903226
leaving you to fall to your death in the most redundant ways	让 你 以 最 多余 的 方式 摔死	0.7368421052631579
buy the pampered chef	购买 宠爱 厨师	0.8
you get what you pay for	你 得到 你 所 付出 的	0.8333333333333334
you get what you pay for	你 得到 你 所 付出 的	0.8333333333333334
it almost seems like ceding part of an argument to terfs	这 几乎 就 像是 把 部分 争论 拱手 让给 了 terf	0.5263157894736842
slamming a door in my face takes effort	当着 我 的 面 关上门 需要 费力	0.5
throwing everything youve got over the fence in response to gpt is not it	为了 响应 gpt 而 把 你 拥有 的 一切 都 扔 到 栅栏 之外 不是 吗	0.4444444444444444
were all such messy critters	我们 都 是 如此 混乱 的 小 动物	0.18181818181818182
like filtering out the beams and replacing the beams with different beams	就 像 过滤 掉 光束 并用 不同 的 光束 替换 光束 一样	0.43478260869565216
a bunch of shiny new goodness in dart	dart 中 的 一堆 闪亮 的 新 优点	0.5
it hurts but you got ta do you	很痛 但 你 必须 这么 做	0.46153846153846156
the zoom zoom kid but the bit is that now hes an adult	那个 变焦 变焦 的 孩子 但 问题 是 现在 他 已经 是 成年人 了	0.6086956521739131
it is a complete pita	这是 一个 完整 的 pita	0.8
casper the rat is an absolute unit these days	如今 casper the rat 绝对 是 一个 单位	0.8235294117647058
horrible product misrepresented	糟糕 的 产品 歪曲事实	0.2857142857142857
no padding at all	根本 没有 填充	0.3333333333333333
i think this could be flattering on anyone	我 认为 这 对 任何人 来说 都 是 讨人喜欢 的	0.75
my hair is also getting darker where the box dye was	我 的 头发 在 盒装 染料 的 地方 也 变黑 了	0.7
horrible product i guess i get what i paid for	糟糕 的 产品 我 想 我 得到 了 我 付出 的 代价	0.6363636363636364
ribbed off by vision supplies	被 vision supplies 挖走	0.2857142857142857
one recognized	一 认出	0.0
